,counts,Fitted
85,8,13.988655681915011
86,16,13.689222903779724
87,9,13.804761770511666
88,12,13.564523699867475
89,14,13.48629753871596
90,12,13.511982649859231
91,14,13.436383541208127
92,13,13.464564352226791
93,14,13.441336170378237
94,22,13.469269349938395
95,8,13.895805906283332
96,13,13.60101561692963
97,24,13.570964871845934
98,6,14.092416675937352
99,17,13.687795854061413
100,20,13.8534060852002
101,13,14.16073578094019
102,14,14.102699027655966
103,20,14.097564064352238
104,23,14.392685861134625
105,11,14.823051544236035
106,12,14.631898978945161
107,11,14.500304053839761
108,13,14.325288863068701
109,18,14.259024455678052
110,17,14.446073268656935
111,15,14.573769629065946
112,19,14.595081147612648
113,18,14.815327078311086
114,15,14.974560760158317
115,17,14.9758327221504
116,13,15.077041109884737
117,14,14.973189090153287
118,22,14.924529623724693
119,20,15.278303166380315
120,14,15.5143880080613
121,19,15.438668595737305
122,23,15.61673515402951
123,14,15.985898372486176
124,16,15.886603441940938
125,16,15.892273281764819
126,18,15.897659629597506
127,15,16.002776683880416
128,14,15.952637849686395
129,14,15.855005945281146
130,12,15.762255636096159
131,14,15.574142878133207
132,18,15.495435722305617
133,10,15.620663971953123
134,11,15.339630773355466
135,17,15.12264924660862
136,15,15.216516808120048
137,16,15.205690967714045
138,15,15.24540643124927
139,9,15.233136109686805
140,15,14.921479322083858
141,16,14.925405355979665
142,20,14.97913510010161
143,15,15.23017834509653
144,14,15.218669427841702
145,13,15.157735944528687
146,16,15.049849183065039
147,10,15.097356735832715
148,19,14.84248889904108
149,15,15.050364442168096
150,15,15.047846220059691
151,13,15.045453909056706
152,21,14.943181249366656
153,14,15.246022258423897
154,14,15.183721133581773
155,26,15.124535064981755
156,14,15.66830838325824
157,15,15.5848929521744
158,18,15.555648304565679
159,17,15.677865925100182
160,18,15.743972652687031
161,14,15.856774055815466
162,17,15.763935341103762
163,18,15.825738597890432
164,14,15.934451703758697
165,15,15.837729106649832
166,13,15.79584265131734
167,10,15.656050554514259
168,15,15.373248026788545
169,12,15.354585625449117
170,16,15.186856368018518
171,13,15.22751356153852
172,13,15.11613791922438
173,17,15.010331059025948
174,21,15.109814529916507
175,21,15.404323874946256
176,10,15.684107752724517
177,14,15.39990236508829
178,17,15.329907234912945
179,20,15.413411897009155
180,17,15.642741302158697
181,17,15.71060426089262
182,17,15.775074071689845
183,15,15.83632039194721
184,16,15.794504372349849
